"","movieId","title","genres","average_rating"
"1",175661,"The Hitman's Bodyguard (2017)","Action|Comedy",4.29166666666667
"2",4020,"Gift, The (2000)","Thriller",3.25
"3",2865,"Sugar Town (1999)","Comedy",3
"4",73232,"Girl in the Park, The (2007)","Drama",4
"5",2878,"Hell Night (1981)","Horror",2.3
"6",2348,"Sid and Nancy (1986)","Drama",3.47826086956522
"7",5410,"Silent Running (1972)","Drama|Sci-Fi",3.25
"8",31359,"Moolaadé (2004)","Drama",2.75
"9",192389,"Venom (2018)","Action|Horror|Sci-Fi|Thriller",3.4
"10",2561,"True Crime (1999)","Crime|Thriller",2.77777777777778
"11",107196,"Is the Man Who Is Tall Happy? (2013)","Animation|Documentary",3
"12",237,"Forget Paris (1995)","Comedy|Romance",3.17592592592593
"13",7379,"The Alamo (2004)","Drama|War|Western",2.5
"14",1002,"Ed's Next Move (1996)","Comedy|Romance",4.16666666666667
"15",1343,"Cape Fear (1991)","Thriller",3.45631067961165
"16",2685,"Red Dwarf, The (Nain rouge, Le) (1998)","Comedy|Drama",5
"17",8982,"I Am David (2003)","Drama",3.7
"18",2511,"Long Goodbye, The (1973)","Crime|Film-Noir",3.72727272727273
"19",427,"Boxing Helena (1993)","Drama|Mystery|Romance|Thriller",2.725
"20",32285,"Boys & Girl from County Clare, The (a.k.a. The Boys from County Clare) (2003)","Comedy|Musical|Romance",2
"21",2807,"Universal Soldier: The Return (1999)","Action|Sci-Fi",1.28125
"22",3128,"Map of the World, A (1999)","Drama",3.625
"23",87006,"Eyes of a Stranger (1981)","Horror|Thriller",1.5
"24",6557,"Born to Be Wild (1995)","Adventure|Children|Comedy|Drama",3
"25",7615,"Desert Hearts (1985)","Drama",2
"26",209035,"time for sushi (2017)","Animation|Comedy",3.5
"27",6509,"Ali: Fear Eats the Soul (Angst essen Seele auf) (1974)","Drama|Romance",4.25
"28",5193,"Jazz Singer, The (1980)","Musical",2
"29",1186,"Sex, Lies, and Videotape (1989)","Drama",3.43478260869565
"30",26903,"Whisper of the Heart (Mimi wo sumaseba) (1995)","Animation|Drama|Romance",3.83333333333333
"31",2586,"Goodbye Lover (1999)","Comedy|Crime|Thriller",1.5
"32",4533,"Return of the Living Dead, The (1985)","Comedy|Horror|Sci-Fi",3.35714285714286
"33",101653,"Magadheera (2009)","Action|Adventure|Fantasy|Romance",0.5
"34",127206,"People, Places, Things (2015)","Comedy",3.5
"35",7321,"Twisted (2004)","Thriller",2.16666666666667
"36",8740,"Lower Depths, The (Donzoko) (1957)","Comedy|Drama",4
"37",8368,"Harry Potter and the Prisoner of Azkaban (2004)","Adventure|Fantasy|IMAX",3.77317073170732
"38",440,"Dave (1993)","Comedy|Romance",3.59714285714286
"39",165645,"Bad Santa 2 (2016)","Comedy",2
"40",175395,"8 Dates (2008)","Comedy",4
"41",3990,"Rugrats in Paris: The Movie (2000)","Animation|Children|Comedy",3.78571428571429
"42",1404,"Night Falls on Manhattan (1996)","Crime|Drama",2.4
"43",5184,"Heaven's Gate (1980)","Western",1.5
